series_title,series_type,series_episodes,my_watched_episodes,my_status
Lodoss-tou Senki: Eiyuu Kishi Den,TV,27,27,On-Hold
Log Horizon,TV,25,25,On-Hold
Log Horizon 2nd Season,TV,25,25,On-Hold
Lolita Anime,OVA,6,6,On-Hold
Long Riders!,TV,12,12,On-Hold
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,TV,13,13,Watching
Lord of Vermilion: Guren no Ou,TV,12,9,Watching
Lost Song,TV,12,12,On-Hold
Lost Universe,TV,26,26,On-Hold
Lostorage Incited WIXOSS,TV,12,12,On-Hold
Loups=Garous,Movie,1,1,On-Hold
Love 2 Quad,OVA,3,3,On-Hold
Love Bitch: Yasashii Onna,OVA,1,1,On-Hold
Love Colon,OVA,2,2,On-Hold
Love es M The Animation,OVA,1,1,On-Hold
Love Forever,OVA,1,1,On-Hold
Love Hina,TV,24,24,On-Hold
Love Hina Again,OVA,3,3,On-Hold
Love Hina Christmas Special: Silent Eve,Special,1,1,On-Hold
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Special,1,1,On-Hold
"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""",Special,1,1,On-Hold
Love Machine: Animaid Shoufu 23-gou,OVA,2,0,Dropped
Love Selection The Animation,OVA,2,2,On-Hold
Love x Holic: Miwaku no Otome to Hakudaku Kankei - The Animation,OVA,2,2,On-Hold
Love² Police,OVA,1,1,On-Hold
Lovely ?,OVA,0,1,On-Hold
Lovely Day: Boku to Kanojo no Nana Nichikan,OVA,1,0,Dropped
Lovely x Cation The Animation,OVA,2,2,On-Hold
Lovely?Complex,TV,24,24,On-Hold
Lucky?Star,TV,24,24,On-Hold
Lunatic Night,OVA,3,3,On-Hold
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,Movie,1,1,On-Hold
Lupin the IIIrd: Mine Fujiko no Uso,Movie,1,1,On-Hold
Lupin the Third: Mine Fujiko to Iu Onna,TV,13,13,On-Hold
Luv Wave,OVA,3,3,On-Hold
M Ogui: Last Order,OVA,1,1,On-Hold
M.E.M.: Yogosareta Junketsu,OVA,2,2,On-Hold
Ma ga Ochiru Yoru,OVA,3,3,On-Hold
Maburaho,TV,24,24,On-Hold
Macademi Wasshoi!,TV,12,12,On-Hold
Machi Gurumi no Wana: Hakudaku ni Mamireta Shitai,OVA,4,4,On-Hold
Machikado Mazoku,TV,12,12,Watching
Machine-Doll wa Kizutsukanai,TV,12,12,On-Hold
Machine-Doll wa Kizutsukanai Specials,Special,6,6,On-Hold
Macross,TV,36,36,On-Hold
Macross 7,TV,49,49,On-Hold
Macross 7 Encore,OVA,3,3,On-Hold
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,Movie,1,1,On-Hold
Macross Dynamite 7,OVA,4,4,On-Hold
Macross F,TV,25,25,On-Hold
Macross F Movie 1: Itsuwari no Utahime,Movie,1,1,On-Hold
Macross F Movie 2: Sayonara no Tsubasa,Movie,1,1,On-Hold
Macross F: Close Encounter - Deculture Edition,Special,1,1,On-Hold
Macross Flash Back 2012,OVA,1,1,On-Hold
Macross II: Lovers Again,OVA,6,6,On-Hold
Macross ?,TV,26,26,On-Hold
Macross ?: Delta Shougekijou,Special,9,9,On-Hold
Macross Plus,OVA,4,4,On-Hold
Macross Plus Movie Edition,Movie,1,1,On-Hold
Macross Zero,OVA,5,5,On-Hold
Macross: Do You Remember Love?,Movie,1,1,On-Hold
Madan no Ou to Vanadis,TV,13,13,On-Hold
Made in Abyss,TV,13,13,On-Hold
Made in Abyss Movie 1: Tabidachi no Yoake,Movie,1,1,On-Hold
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie,1,1,On-Hold
Madlax,TV,26,26,On-Hold
Madonna: Kanjuku Body Collection,OVA,1,1,On-Hold
Madou King Granzort,TV,41,20,On-Hold
Maesetsu!,TV,0,0,Plan to Watch
Magi: Sinbad no Bouken,OVA,5,5,On-Hold
Magi: Sinbad no Bouken (TV),TV,13,13,On-Hold
Magi: The Kingdom of Magic,TV,25,25,On-Hold
Magi: The Labyrinth of Magic,TV,25,25,On-Hold
Magia Record: Mahou Shoujo Madoka?Magica Gaiden (TV),TV,13,13,Watching
Magic Kaito 1412,TV,24,24,On-Hold
Magic Knight Rayearth,TV,20,20,On-Hold
Magic Knight Rayearth II,TV,29,29,On-Hold
Magic Knight Rayearth Pilot,Special,1,1,On-Hold
Magic-Kyun! Renaissance,TV,13,13,On-Hold
Magical Moe,OVA,1,0,Dropped
Magical Suite Prism Nana,OVA,7,0,Dropped
Magical Twilight,OVA,3,3,On-Hold
Magical Witch Academy: Boku to Sensei no Magical Lesson The Animation,OVA,2,0,Dropped
Magical?Star Kanon 100%,OVA,1,1,On-Hold
Magikano,TV,13,13,On-Hold
Mahoromatic Summer Special,Special,1,1,On-Hold
Mahoromatic: Automatic Maiden,TV,12,12,On-Hold
Mahoromatic: Motto Utsukushii Mono,TV,14,14,On-Hold
Mahou no Rouge Lipstick,OVA,1,1,On-Hold
Mahou no Shiho-chan,OVA,2,2,On-Hold
Mahou no Stage Fancy Lala,TV,26,26,On-Hold
Mahou Senshi Louie,TV,24,24,On-Hold
Mahou Senshi Sweet Knights: Heroine Ryoujoku Shirei,OVA,2,0,Dropped
Mahou Sensou,TV,12,12,On-Hold
Mahou Shoujo Ai,OVA,5,5,On-Hold
Mahou Shoujo Ai San: The Anime,OVA,3,3,On-Hold
Mahou Shoujo Elena,OVA,3,3,On-Hold
Mahou Shoujo Ikusei Keikaku,TV,12,12,On-Hold
Mahou Shoujo Isuka,OVA,3,3,On-Hold
Mahou Shoujo Lyrical Nanoha,TV,13,13,On-Hold
Mahou Shoujo Lyrical Nanoha A's,TV,13,13,On-Hold
Mahou Shoujo Lyrical Nanoha StrikerS,TV,26,26,On-Hold
Mahou Shoujo Lyrical Nanoha ViVid,TV,12,12,On-Hold
Mahou Shoujo Lyrical Nanoha ViVid: Special Program,Special,1,1,On-Hold
Mahou Shoujo Lyrical Nanoha: Reflection,Movie,1,1,On-Hold
Mahou Shoujo Madoka?Magica,TV,12,12,On-Hold
Mahou Shoujo Madoka?Magica Movie 1: Hajimari no Monogatari,Movie,1,1,On-Hold
Mahou Shoujo Madoka?Magica Movie 2: Eien no Monogatari,Movie,1,1,On-Hold
Mahou Shoujo Madoka?Magica Movie 3: Hangyaku no Monogatari,Movie,1,1,On-Hold
Mahou Shoujo Madoka?Magica: Concept Movie,Movie,1,1,On-Hold
Mahou Shoujo Meruru,OVA,2,2,On-Hold
Mahou Shoujo Ore,TV,12,12,On-Hold
Mahou Shoujo Pretty Sammy,OVA,3,3,On-Hold
Mahou Shoujo Pretty Sammy (1996),TV,26,26,On-Hold
Mahou Shoujo Sae,OVA,2,0,Dropped
Mahou Shoujo Site,TV,12,12,On-Hold
Mahou Shoujo Taisen,TV,26,26,On-Hold
Mahou Shoujo Tokushusen Asuka,TV,12,12,On-Hold
Mahou Shoujo wa Kiss Shite Kawaru,OVA,1,0,Dropped
Mahou Shoujo-tai Arusu,TV,40,40,On-Hold
Mahou Shoujo-tai Arusu the Adventure,OVA,6,6,On-Hold
Mahoujin Guruguru,TV,45,45,On-Hold
Mahoujin Guruguru (2017),TV,24,24,On-Hold
Mahouka Koukou no Rettousei,TV,26,26,On-Hold
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,Movie,1,1,On-Hold
Mahoutsukai ni Taisetsu na Koto,TV,12,12,On-Hold
Mahoutsukai no Yome,TV,24,24,On-Hold
Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,3,3,On-Hold
Mahoutsukai Precure!,TV,50,50,On-Hold
Mahoutsukai Tai!,OVA,6,6,On-Hold
Mahoutsukai Tai! (TV),TV,13,13,On-Hold
Mai-HiME,TV,26,26,On-Hold
Mai-HiME Specials,Special,27,27,On-Hold
Mai-HiME: Kuro no Mai/Saigo no Bansan,Special,1,1,On-Hold
Mai-Otome,TV,26,26,On-Hold
Maicching Machiko-sensei,TV,95,95,On-Hold
Maid Ane,OVA,2,2,On-Hold
Maid in Heaven SuperS,OVA,2,2,On-Hold
Maid Meshimase,OVA,1,0,Dropped
Maid no Yakata: Zetsubou-hen,OVA,2,2,On-Hold
Maid-san to Boin Damashii,OVA,2,2,On-Hold
Maids in Dream,OVA,2,2,On-Hold
Mairimashita! Iruma-kun,TV,23,23,Watching
Maison Ikkoku,TV,96,96,On-Hold
Majime ni Fumajime Kaiketsu Zorori,TV,97,10,On-Hold
Majimoji Rurumo,TV,12,12,On-Hold
Majin Tantei Nougami Neuro,TV,25,25,On-Hold
Majo no Takkyuubin,Movie,1,1,On-Hold
Majokko Shimai no Yoyo to Nene,Movie,1,1,On-Hold
Major 2nd (TV),TV,25,25,Watching
Major 2nd (TV) 2nd Season,TV,0,4,Watching
Majutsushi Orphen,TV,24,24,On-Hold
Majutsushi Orphen Hagure Tabi,TV,13,13,Watching
Majutsushi Orphen Hagure Tabi: Tennin no Isan,Special,1,1,Watching
Majutsushi Orphen: Revenge,TV,23,23,On-Hold
Majuu Jouka Shoujo Utea,OVA,4,4,On-Hold
Majuu Sensen: The Apocalypse,TV,13,13,On-Hold
Makai Kishi Ingrid,OVA,4,4,On-Hold
Makai Senki Disgaea,TV,12,12,On-Hold
Makai Tenshi Djibril,OVA,4,4,On-Hold
Makai Tenshi Djibril 3,OVA,2,2,On-Hold
Makai Tenshi Djibril: Episode 2,OVA,4,4,On-Hold
Makai Toshi Shinjuku,OVA,1,1,On-Hold
Makaryuudo Demon Hunter,OVA,1,1,On-Hold
Maken no Hime wa Ero Ero Desu,OVA,0,4,On-Hold
Maken-Ki!,TV,12,12,On-Hold
Maken-Ki! OVA,OVA,2,2,On-Hold
Maken-Ki! Specials,Special,6,6,On-Hold
Maken-Ki! Two,TV,10,10,On-Hold
Maken-Ki! Two Specials,Special,5,5,On-Hold
Maki-chan to Now.,OVA,4,4,On-Hold
Makyou Gaiden Le Deus,OVA,1,1,On-Hold
MaMa,OVA,2,0,Dropped
Mama Puri!?,OVA,2,2,On-Hold
Mamahaha,OVA,2,2,On-Hold
Mamono Hunter Youko,OVA,6,6,On-Hold
Manaria Friends,TV,10,10,On-Hold
Manga Edo Erobanashi,OVA,5,5,On-Hold
Manie-Manie: Meikyuu Monogatari,Movie,3,3,On-Hold
Manin Densha,OVA,3,3,On-Hold
Mankitsu Happening,OVA,4,4,On-Hold
Manyuu Hikenchou,TV,12,12,On-Hold
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",TV,13,0,Plan to Watch
"Maou-sama, Retry!",TV,12,12,On-Hold
Maoyuu Maou Yuusha,TV,12,12,On-Hold
Maple Colors,OVA,2,2,On-Hold
Maps,OVA,4,4,On-Hold
Mardock Scramble: The First Compression,Movie,1,1,On-Hold
Mardock Scramble: The Second Combustion,Movie,1,1,On-Hold
Mardock Scramble: The Third Exhaust,Movie,1,1,On-Hold
Maria†Holic,TV,12,12,On-Hold
Maria†Holic Alive,TV,12,12,On-Hold
Marmalade Boy,TV,76,76,On-Hold
Marmalade Boy Movie,Movie,1,1,On-Hold
Maro no Kanja wa Gatenkei,OVA,2,2,On-Hold
"Marriage Blue: ""Konyakusha ga Iru no ni, Doushite Konna Otoko ni......""",OVA,1,1,On-Hold
Marshmallow?Imouto?Succubus?,OVA,2,2,On-Hold
Mary to Majo no Hana,Movie,1,1,On-Hold
Maryuu Senki,OVA,3,3,On-Hold
Masamune-kun no Revenge,TV,12,12,On-Hold
Masamune-kun no Revenge OVA,OVA,1,1,On-Hold
Masaru Ashita no Yukinojou 2,OVA,2,0,Dropped
Mashou no Kao,OVA,1,0,Dropped
Mashou no Nie 3,OVA,2,2,On-Hold
Masou Gakuen HxH,TV,12,12,On-Hold
Masou Kishin Cybuster,TV,26,26,On-Hold
Mass Effect: Paragon Lost,Movie,1,1,On-Hold
Master Keaton,TV,24,24,On-Hold
Master Keaton OVA,OVA,15,15,On-Hold
Master Mosquiton,OVA,6,6,On-Hold
Master Piece The Animation,OVA,2,2,On-Hold
Matantei Loki Ragnarok,TV,26,26,On-Hold
Matou Kitan Zankan!,OVA,2,2,On-Hold
Mawaru Penguindrum,TV,24,24,On-Hold
Mayo Chiki!,TV,13,13,On-Hold
Mayo Elle Otoko no Ko,OVA,1,0,Dropped
Mayoiga,TV,12,12,On-Hold
Mayoiga no Oneesan The Animation,OVA,1,1,On-Hold
Mayonaka no Occult Koumuin,TV,12,12,Watching
Maze?Bakunetsu Jikuu (TV),TV,25,0,Dropped
Mazinger Z,TV,92,92,On-Hold
Mazinger Z Movie: Infinity,Movie,1,1,On-Hold
Märchen Mädchen,TV,10,10,On-Hold
Märchen Mädchen Specials,Special,2,2,On-Hold
MD Geist II: Death Force,OVA,1,1,On-Hold
Mechiku,OVA,1,0,Dropped
Medaka Box,TV,12,12,On-Hold
Medaka Box Abnormal,TV,12,12,On-Hold
Medarot,TV,52,52,On-Hold
Megachu!,OVA,3,3,On-Hold
Megalo Box,TV,13,13,On-Hold
Megami Kouhosei,TV,12,12,On-Hold
Megami Kyouju,OVA,2,2,On-Hold
Megami Paradise,OVA,2,2,On-Hold
Megane no Megami,OVA,2,2,On-Hold
Megazone 23,OVA,4,4,On-Hold
Mei King,OVA,4,4,On-Hold
Meiji Tokyo Renka,TV,12,12,Watching
Meikoku Gakuen: Jutai-hen,OVA,2,2,On-Hold
Meiou Project Zeorymer,OVA,4,4,On-Hold
Meitantei Holmes,TV,26,26,On-Hold
Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,Movie,1,1,On-Hold
Mejoku,OVA,2,2,On-Hold
Mekakucity Actors,TV,12,12,On-Hold
Melty Lancer,OVA,6,6,On-Hold
Meltys Quest,ONA,0,2,On-Hold
Memories,Movie,3,3,On-Hold
Menhera Ayuri no Yamanai Onedari: Headphone wa Hazusenai,OVA,2,2,On-Hold
Menkui!,OVA,2,2,On-Hold
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,TV,12,12,On-Hold
Mermaid Forest OVA,OVA,1,1,On-Hold
Mesu Kyoushi 4: Kegasareta Kyoudan,OVA,0,4,On-Hold
Mesu Kyoushi: Injoku no Kyoushitsu,OVA,3,3,On-Hold
Mesu Nochi Torare,OVA,2,2,On-Hold
Mesu Saga: Persona,OVA,1,1,On-Hold
Metal Skin Panic MADOX-01,OVA,1,1,On-Hold
Metropolis,Movie,1,1,On-Hold
Mewkledreamy,TV,0,2,Watching
Mezame no Hakobune,OVA,1,1,On-Hold
Mezzo DSA,TV,13,13,On-Hold
Mezzo Forte,OVA,2,2,On-Hold
Mi-da-ra,OVA,3,3,On-Hold
Miami Guns,TV,13,13,On-Hold
Mianhada Saranghanda,Movie,1,0,Dropped
Miboujin Nikki: Akogare no Ano Hito to Hitotsu Yane no Shita,OVA,1,1,On-Hold
Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,OVA,2,2,On-Hold
Michiko to Hatchin,TV,22,22,On-Hold
Midara na Ao-chan wa Benkyou ga Dekinai,TV,12,12,On-Hold
Midnight Crazy Trail,Movie,1,0,Dropped
Midnight Panther,OVA,2,2,On-Hold
Midori no Hibi,TV,13,13,On-Hold
Mikagura Gakuen Kumikyoku (TV),TV,12,12,On-Hold
Mikagura Tanteidan,OVA,3,3,On-Hold
Mikakunin de Shinkoukei,TV,12,12,On-Hold
Milk Junkie: Shimai-hen,OVA,4,4,On-Hold
Milky Gal: Cats Ai,OVA,1,0,Dropped
Milkyway,OVA,2,2,On-Hold
Mimi wo Sumaseba,Movie,1,1,On-Hold
Minami-ke Tadaima,TV,13,13,On-Hold
Minerva no Kenshi,OVA,5,5,On-Hold
Mini Sengoku Basara Two: Tsukiyo no Katakura-kun,Special,7,7,On-Hold
Mini Sengoku Basara: Chousokabe-kun to Mouri-kun,Special,7,7,On-Hold
Mini Skirt Gakuen,OVA,1,1,On-Hold
Minna Agechau?,OVA,1,1,On-Hold
Miracle?Train: Oedo-sen e Youkoso,TV,13,0,Dropped
Mirai Choujuu Fobia,OVA,2,0,Dropped
Mirai Keisatsu Urashiman,TV,50,50,On-Hold
Mirai Nikki,TV,26,26,On-Hold
Mirai no Mirai,Movie,1,1,On-Hold
Mirai Shounen Conan,TV,26,26,On-Hold
Miru Tights,ONA,12,12,On-Hold
Misato-chan no Yume Nikki,OVA,1,0,Dropped
Misuzu: Ikenai Koto,OVA,1,1,On-Hold
Mitama: Nin,OVA,2,2,On-Hold
Mitsuboshi Colors,TV,12,12,On-Hold
Mix,TV,24,24,Watching
Miyamoto Musashi: Souken ni Haseru Yume,Movie,1,1,On-Hold
Miyazaki Maya Daizukan,OVA,2,2,On-Hold
Mizugi Kanojo The Animation,OVA,4,4,On-Hold
Mizuiro,OVA,2,2,On-Hold
MM!,TV,12,12,On-Hold
Mnemosyne: Mnemosyne no Musume-tachi,TV,6,6,On-Hold
Mob Psycho 100,TV,12,12,On-Hold
Mob Psycho 100 II,TV,13,13,On-Hold
Mob Psycho Mini,Special,6,6,On-Hold
Mobile Fighter G Gundam,TV,49,49,On-Hold
Mobile Suit Gundam,TV,43,43,On-Hold
Mobile Suit Gundam 00,TV,25,25,On-Hold
Mobile Suit Gundam 00 Second Season,TV,25,25,On-Hold
Mobile Suit Gundam 00 Special Edition,OVA,3,3,On-Hold
Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,Movie,1,1,On-Hold
Mobile Suit Gundam 0080: War in the Pocket,OVA,6,6,On-Hold
Mobile Suit Gundam 0083: Stardust Memory,OVA,13,13,On-Hold
Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,Special,1,1,On-Hold
Mobile Suit Gundam 0083: Stardust Memory Picture Drama - The Mayfly of Space 2,Special,1,1,On-Hold
Mobile Suit Gundam 0083: The Fading Light of Zeon,Movie,1,1,On-Hold
Mobile Suit Gundam AGE,TV,49,49,On-Hold
Mobile Suit Gundam F91,Movie,1,1,On-Hold
Mobile Suit Gundam I,Movie,1,1,On-Hold
Mobile Suit Gundam II: Soldiers of Sorrow,Movie,1,1,On-Hold
Mobile Suit Gundam III: Encounters in Space,Movie,1,1,On-Hold
Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,OVA,3,3,On-Hold
Mobile Suit Gundam MS IGLOO: Apocalypse 0079,OVA,3,3,On-Hold
Mobile Suit Gundam MS IGLOO: The Hidden One Year War,OVA,3,3,On-Hold
Mobile Suit Gundam NT,Movie,1,1,On-Hold
Mobile Suit Gundam SEED,TV,50,50,On-Hold
Mobile Suit Gundam SEED C.E.73: Stargazer,ONA,3,3,On-Hold
Mobile Suit Gundam SEED Destiny,TV,50,50,On-Hold
Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,OVA,1,1,On-Hold
Mobile Suit Gundam SEED MSV Astray,OVA,2,2,On-Hold
Mobile Suit Gundam Thunderbolt: Bandit Flower,Movie,1,1,On-Hold
Mobile Suit Gundam Thunderbolt: December Sky,Movie,1,1,On-Hold
Mobile Suit Gundam Unicorn,OVA,7,7,On-Hold
Mobile Suit Gundam Unicorn RE:0096,TV,22,22,On-Hold
Mobile Suit Gundam Wing,TV,49,49,On-Hold
Mobile Suit Gundam Wing: Endless Waltz,OVA,3,3,On-Hold
Mobile Suit Gundam Wing: Endless Waltz Movie,Movie,1,1,On-Hold
Mobile Suit Gundam Wing: Operation Meteor,OVA,4,4,On-Hold
Mobile Suit Gundam ZZ,TV,47,47,On-Hold
Mobile Suit Gundam ZZ: Gundam Frag.,OVA,2,2,On-Hold
Mobile Suit Gundam: Char's Counterattack,Movie,1,1,On-Hold
Mobile Suit Gundam: Iron-Blooded Orphans,TV,25,25,On-Hold
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,25,On-Hold
Mobile Suit Gundam: More Information on the Universal Century,Special,10,10,On-Hold
Mobile Suit Gundam: The 08th MS Team,OVA,12,12,On-Hold
Mobile Suit Gundam: The 08th MS Team - A Battle with the Third Dimension,Special,1,1,On-Hold
Mobile Suit Gundam: The 08th MS Team - Miller's Report,Movie,1,1,On-Hold
Mobile Suit Gundam: The Origin,OVA,6,6,On-Hold
Mobile Suit Gundam: The Origin - Advent of the Red Comet,TV,13,0,Plan to Watch
Mobile Suit Victory Gundam,TV,51,51,On-Hold
Mobile Suit Zeta Gundam,TV,50,50,On-Hold
Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars,Movie,1,1,On-Hold
Mobile Suit Zeta Gundam: A New Translation II - Lovers,Movie,1,1,On-Hold
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,Movie,1,1,On-Hold
Mogitate Marina-chan,OVA,1,0,Dropped
Moke Moke Taishou Dendo Musume Arisa,OVA,2,2,On-Hold
Mokkai Shiyo?,OVA,1,1,On-Hold
Mokke,TV,24,24,On-Hold
Mokke Specials,Special,2,2,On-Hold
Momiji,OVA,4,4,On-Hold
Momo e no Tegami,Movie,1,1,On-Hold
Momo Kyun Sword,TV,12,12,On-Hold
Momoiro Bouenkyou Anime Edition,OVA,1,1,On-Hold
Momoiro Milk,OVA,2,2,On-Hold
Momoiro Sisters,TV,24,24,On-Hold
Momoko,OVA,2,2,On-Hold
Momone,OVA,1,1,On-Hold
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,TV,10,10,On-Hold
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,OVA,1,1,On-Hold
Monkey Magic,TV,13,13,On-Hold
Monmusu Quest!,ONA,2,2,On-Hold
Monogatari Series: Second Season,TV,26,26,On-Hold
Mononoke Hime,Movie,1,1,On-Hold
Monster,TV,74,74,On-Hold
Monster Extra: Hottan,Special,1,1,On-Hold
Monster Farm: Enbanseki no Himitsu,TV,48,48,On-Hold
Monster Farm: Legend e no Michi,TV,25,25,On-Hold
Monster Musume no Iru Nichijou,TV,12,12,On-Hold
Monster Musume no Oishasan,TV,0,0,Plan to Watch
Moonlight Mile 1st Season: Lift Off,TV,12,12,On-Hold
Moonlight Mile 2nd Season: Touch Down,TV,14,14,On-Hold
Moonlight Sonata,OVA,1,0,Dropped
Moshidora,TV,10,10,On-Hold
Motto To LOVE-Ru,TV,12,12,On-Hold
Motto! Majime ni Fumajime Kaiketsu Zorori,TV,0,0,Plan to Watch
Mou Hasamazu ni wa Irarenai?: Hoshi ni Onegai shitara Konnani Okkiku Nacchatta!,OVA,1,1,On-Hold
Mouretsu Pirates,TV,26,26,On-Hold
Mouretsu Pirates: Abyss of Hyperspace,Movie,1,1,On-Hold
Mouryou no Nie,OVA,2,2,On-Hold
Mouryou Senki Madara,OVA,2,2,On-Hold
Mouse,TV,12,12,On-Hold
Mousou Dairinin,TV,13,13,On-Hold
Mozu no Nie,OVA,1,1,On-Hold
Mrs. Junkie,OVA,2,2,On-Hold
Muchi Muchi Kyousei Seichouchuu!!!,ONA,2,2,On-Hold
Mugen no Juunin: Immortal,ONA,24,24,Watching
Mugen no Kyoukai,OVA,4,4,On-Hold
Mugen no Ryvius,TV,26,26,On-Hold
Muhyo to Rouji no Mahouritsu Soudan Jimusho,TV,12,12,Watching
Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,TV,0,0,Plan to Watch
Mujaki no Rakuen,OVA,3,3,On-Hold
Mujigen Hunter Fandora,OVA,3,3,On-Hold
Mujin Wakusei Survive,TV,52,52,On-Hold
Mujintou Monogatari X,OVA,4,4,On-Hold
Mujintou Monogatari XX,OVA,4,4,On-Hold
Muma no Machi Cornelica,OVA,4,4,On-Hold
Mune Kyun! Heartful Cafe,OVA,2,2,On-Hold
Murder Princess,OVA,6,6,On-Hold
Murenase! Seton Gakuen,TV,12,12,Watching
Musaigen no Phantom World,TV,13,13,On-Hold
Musaigen no Phantom World: Mizutama no Kiseki,Special,1,1,On-Hold
Musekinin Galaxy?Tylor,TV,12,12,On-Hold
Musekinin Kanchou Tylor,TV,26,26,On-Hold
Musekinin Kanchou Tylor OVA,OVA,10,10,On-Hold
Mushikago no Cagaster,ONA,12,12,Watching
Mushishi,TV,26,26,On-Hold
Mushishi Zoku Shou,TV,10,10,On-Hold
Mushishi Zoku Shou 2nd Season,TV,10,10,On-Hold
Mushishi Zoku Shou: Odoro no Michi,Special,1,1,On-Hold
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,1,On-Hold
Mushishi: Hihamukage,Special,1,1,On-Hold
Mushrambo,TV,32,32,On-Hold
Musuko no Tomodachi ni Okasarete,OVA,2,2,On-Hold
Mutafukaz,Movie,1,1,On-Hold
Muteki Choujin Zanbot 3,TV,23,23,On-Hold
Muteki Robo Trider G7,TV,50,50,On-Hold
Mutsu Enmei Ryuu Gaiden: Shura no Toki,TV,26,26,On-Hold
Muv-Luv Alternative: Total Eclipse,TV,24,24,On-Hold
My Imouto: Koakuma na A-Cup,OVA,2,2,On-Hold
My Life As,OVA,1,0,Dropped
Na Bbeun Sang Sa,Movie,1,0,Dropped
Nabari no Ou,TV,26,26,On-Hold
Naedoko Demon's Ground,ONA,0,1,On-Hold
Nagasaki 1945: Angelus no Kane,Movie,1,0,Dropped
Nagasarete Airantou,TV,26,26,On-Hold
Nagato Yuki-chan no Shoushitsu,TV,16,16,On-Hold
Nagato Yuki-chan no Shoushitsu: Owarenai Natsuyasumi,OVA,1,1,On-Hold
Nageki no Kenkou Yuuryouji,OVA,3,3,On-Hold
Nagi no Asu kara,TV,26,26,On-Hold
Naisho no Wakana-san,OVA,1,1,On-Hold
Najica Dengeki Sakusen,TV,12,12,On-Hold
Nakanohito Genome [Jikkyouchuu],TV,12,12,Watching
Nama Lo Re: Furachimono The Animation,OVA,1,1,On-Hold
Nama Lo Re: Namakemono The Animation,OVA,1,1,On-Hold
Namaiki: Kissuisou e Youkoso! The Animation,OVA,1,1,On-Hold
Namanaka Hyaku Percent!: Katamusubi no Shinpa,OVA,3,3,On-Hold
Nami yo Kiitekure,TV,12,4,Watching
Namiuchigiwa no Muromi-san,TV,13,13,On-Hold
Namu Amida Butsu!: Rendai Utena,TV,12,12,Watching
Nana,TV,47,47,On-Hold
Nana Recaps,Special,3,3,On-Hold
Nana Toshi Monogatari: Hokkyokukai Sensen,OVA,2,2,On-Hold
Nanako Kaitai Shinsho,OVA,6,6,On-Hold
Nanase Ren,OVA,1,1,On-Hold
Nanatsu no Bitoku,TV,10,10,On-Hold
Nanatsu no Bitoku Specials,Special,2,2,On-Hold
Nanatsu no Taizai,TV,24,24,On-Hold
Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,24,On-Hold
Nanatsu no Taizai: Kamigami no Gekirin,TV,24,24,Watching
Nanatsu no Taizai: Seisen no Shirushi,TV,4,4,On-Hold
Nande Koko ni Sensei ga!?,TV,12,12,Watching
Nankyoku 28 Gou,OVA,1,1,On-Hold
Naoko no Tropic Angel: Hyouryuu,OVA,1,0,Dropped
Nariyuki?Papakatsu Girls!! The Animation,OVA,2,2,On-Hold
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,TV,13,13,On-Hold
Naruto,TV,220,220,On-Hold
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Movie,1,1,On-Hold
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Movie,1,1,On-Hold
Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,Movie,1,1,On-Hold
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,Movie,1,1,On-Hold
Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai,Special,1,1,On-Hold
